name,price
Python程序设计基础（原书第4版）,87.90
Python机器学习实践：测试驱动的开发方法,48.70
深度学习案例精粹,74.50
Python 3.7编程快速入门,50.20
Python应用开发实战,66.20
Python趣味编程入门,41.00
树莓派Python编程入门与实战（第2版）,57.80
疯狂Python讲义,85.00
玩转Python轻松过二级,44.50
Python程序设计实验指导书/高等院校信息技术规划教材,35.50
深入理解Python特性,38.60
大数据与人工智能技术丛书·Python机器学习：数据分析与评分卡建模（微课版）,49.00
基于Python的智能文本分析,70.40
Python 黑帽子：黑客与渗透测试编程之道,52.30
现货 OpenCV 3计算机视觉 Python语言实现（原书第2版）计算机教材教程书籍,42.00
机器学习：使用OpenCV和Python进行智能图像处理,56.90
Python数据分析 第2版,57.80
趣学Python编程,37.70
用Python写网络爬虫 第2版,41.00
Python和Pygame游戏开发指南,49.40
跟老齐学Python：Django实战（第2版）,75.10
语料库与Python应用/语料库翻译学文库,45.00
scikit-learn机器学习（第2版）,49.40
深度强化学习原理与实践,82.90
Python机器学习实践指南,57.80
机器学习算法的数学解析与Python实现,73.40
Python 3 面向对象编程（第2版）,94.10
11招玩转网络安全：用Python，更安全,65.60
Python数据可视化编程实战 第2版,57.80
Python网络爬虫从入门到实践,75.10
Python科学计算最佳实践 SciPy指南,57.80
多元统计分析——R与Python的实现（基于R应用的统计学丛书）,37.20
【3册】Python编程从入门到实践+Python编程快速上手+Python极客项目编程 pyt,158.00
Python参考手册 第4版 修订版,74.50
啊哈编程星球：一本书入门Python和C++,84.60
Python学习笔记：从入门到实战,66.30
Python自动化运维快速入门,50.20
经济金融数据分析及其Python应用（数量经济学系列丛书）,40.90
Python Flask Web开发入门与项目实战,81.70
面向自然语言处理的深度学习 用Python创建神经网络+自然语言处理Python进阶 机器学习深度,320.00
Python数据分析 第2版（影印版）,80.40
Python与量化投资：从基础到实战,94.10
Python数据分析与挖掘实战Python金融大数据挖掘与分析网络爬虫数据挖掘与机器学习实战量化交易,368.00
Selenium3自动化测试实战――基于Python语言,65.60
人人都懂设计模式：从生活中领悟设计模式（Python实现）,75.10
Python金融大数据挖掘+网络爬虫从入门到实践+数据挖掘与机器学习实战+Python机器学习算法,233.00
玩着也能学Python,83.60
Python接口自动化测试,56.10
码农翻身：用故事给技术加点料,65.60
面向自然语言处理的深度学习 用Python创建神经网络+自然语言处理Python进阶 计算机编程开发,210.00
Python金融实战,66.20
Python Cookbook 中文版 第3版,76.70
Python机器学习 5个数据科学家案例解析,42.30
Python编程从入门到实践python基础教程,54.90
3本包邮 Python网络爬虫权威指南（第2版）+利用Python进行数据分析（原书第2版）,221.50
笨办法 学Python 3 基础编程 编程语言书籍,45.80
Python高级数据分析：机器学习、深度学习和NLP实例,48.70
Python程序设计与科学计算,41.00
Python社会媒体挖掘,57.80
聊天机器人：入门、进阶与实战,79.00
Python大战机器学习：数据科学家的第一个小目标,65.60
营销数据科学：用R和Python进行预测分析的建模技术,72.80
Python项目开发实战（第2版）,64.50
Python程序设计案例课堂,69.00
正版 全2册 教孩子学编程python语言版+趣学Python 少儿儿童编程入门教程书中小学编程教材,86.00
Python编程从入门到实践 python3.5核心编程基础教程快速上手 3.0零基础笨办法,53.80
Python从菜鸟到高手,95.00
跟老齐学Python：Django实战,65.60
Python数据科学入门,57.80
自己动手写Python虚拟机,70.60
Python数据科学手册,77.40
零基础入门学习Python(第2版) 微课视频版,66.30
轻量级Django,29.30
Python核心编程 第3版 [美]卫斯理 春(Wesley Chun) 97871154,54.45
少博士趣学Python,75.90
Python科学计算基础教程,40.00
教孩子学Python编程,99.00
Python数据挖掘：概念、方法与实践,48.70
Python数据可视化编程实战,41.00
电子数据取证与Python方法,46.00
跟孩子一起玩编程——Python编程快速入门,58.40
Hadoop数据分析,56.40
跟老齐学Python 数据分析,75.10
Python 并行编程手册,56.10
父与子的编程之旅 与爸爸一起学Python,38.00
Python语言在Abaqus中的应用（附CD-ROM光盘1张）,39.60
Python数据可视化：基于Bokeh的可视化绘图,79.00
Python程序员面试算法宝典,53.60
Python计算机视觉编程,56.40
零基础搭建量化投资系统――以Python为工具,94.10
Python自动化运维：技术与最佳实践,56.90
Python核心技术实战详解,74.50
生成对抗网络项目实战,57.80
Python入门很简单,65.60
Python 新手学Django 2.0架站的16堂课（第2版）,84.20
青少年Python编程入门,37.70
Python网络爬虫从入门到实践 第2版,56.90
PYTHON数据科学手册（影印版 英文版）,87.80
TensorFlow：实战Google深度学习框架（第2版）,84.60
Python数据分析实战 第2版,66.20
Python数字信号处理应用,37.70
Python与有限元--基于Python编程的有限元分析及应用扩展,45.50
Python程序设计与实践：用计算思维解决问题,25.40
Python Qt GUI快速编程：PyQt编程指南,61.80
流利的Python语言（影印版 英文版）,95.90
Python自动化测试实战,66.30
Python设计模式,83.30
趣学Python：教孩子学编程,49.40
Python密码学编程,57.80
PYTHON基础教程 第三版,74.20
Python快速编程入门,30.30
Python文本分析,65.20
Flask Web开发 基于Python的Web应用开发实战 第2版,56.40
Python高性能编程,66.20
Python网络爬虫*威指南 *二2版 Python 3网络爬虫开发实战入门教程 数据采集数据爬取,51.40
像计算机科学家一样思考Python 第2版,41.00
Python编程无师自通 专业程序员的养成,43.90
Python程序设计 第3版,57.80
Python人脸识别：从入门到工程实践+Python深度学习实战+深度学习与图像识别+机器学习 4册,245.00
Python高效开发实战：Django、Tornado、Flask、Twisted（第2版）,94.10
Python 3.7从零开始学,67.20
Python3爬虫实战——数据清洗、数据分析与可视化,56.80
零基础学Python从入门到精通 python编程自学Python基础入门项目实践 赠视频课程 R,44.80
Python3反爬虫原理与绕过实战 python网络爬虫 python编程从入门到实战,66.50
Python程序设计基础（第2版）（计算机系列教材）,44.50
Python机器学习和图像处理实战：面部识别、目标检测和模式识别,59.30
Python金融数据分析 Python，数据分析，金融，金融数据,53.82
数据结构 Python语言描述,54.40
Python程序设计与算法基础教程（第2版）/21世纪高等学校计算机类课程创新规划教材· 微课版,53.60
Python语言及其应用,64.50
动手学深度学习 李沐 人工智能机器学习入门书籍教程花书西瓜书周志华推荐 Python神经,57.40
Python量化交易：策略、技巧与实战,94.10
利用Python进行数据分析  原书第二版 华章图书 O'Reilly精品图书系列,86.90
Python量化交易实战,67.20
Python基础教程/高等学校计算机应用规划教材,61.80
利用Python进行数据分析（原书第2版）,79.00
Python人脸识别：从入门到工程实践,56.90
Python编程从入门到实践 python基础教程 零基础学Python,54.90
Python算法教程,57.80
基于Python的金融分析与风险管理 斯文著 科技金融大数据风控金融分析师教程量化交易金融市场技,80.00
Python机器学习手册：从数据预处理到深度学习,84.60
Effective Python：编写高质量Python代码的59个有效方法,40.60
Python编程 从入门到实践,70.20
零基础学Python（全彩版）,73.40
利用Python进行数据分析（原书第2版）,92.40
Python从入门到项目实践（全彩版）,91.80
